name,overview,first_air_date,rating,vote_count,review
Fighting Spirit,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning...",2000-10-03,8.6,1138,No reviews
Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family.",2019-04-06,8.643,6848,"**One of the best shounen ANIME out there!**

The Animation is insane and the background music and OP are just spectacular. 
Totally worth it and a must-watch!"
Dan Da Dan,"In a bet to prove whether ghosts or aliens exist, two high schoolers face terrifying paranormal threats, gain superpowers and maybe even fall in love?!",2024-10-04,8.6,654,I didn't like this show
Once,"The series revolves around Gabo, a soccer-loving teenager who, upon receiving a scholarship from the prestigious Sports Academic Institute (IAD) of Buenos Aires, will see his dream of playing at Los Halcones Dorados, the renowned amateur team of the school, and also his longing to become a professional footballer.",2017-06-19,8.632,1487,No reviews
INVINCIBLE,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",2021-03-25,8.63,5094,"Invincible is so freaking good that it’s going to be difficult anticipating new episodes on a week-to-week basis. Its brutal action is mesmerizing, but Invincible has so much heart and meaning behind those punches that the show leaves an impact even when it isn’t throwing blood and severed limbs in "
Death Note,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006-10-04,8.629,4509,"My favourite ever series not just of anime but TV in general, Death Note is simply beautiful television. The production is amazing from great animation to brilliant music and wonderful performances in English and Japanese. The characters of Light, L, Ryuk, Misa and so on are all truly iconic and ent"
Regular Show,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,2010-09-06,8.6,2133,No reviews
Primal,A caveman forms a bond with a dinosaur as they struggle to survive in a hostile world.,2019-10-08,8.6,1463,"<b><i>Primal, for the very brief run it has been on in 3 years, sets an exemplary tone of adult animated shows can be more than ""complex inter galactic warfare brimmed with meta-humour and anti-meta-narrative"" or to simply put ""haha, sex is funny"" or ""laugh in the misery of the supposed glassed virg"
My Hero Academia,"For his entire life, Izuku has dreamed of being a hero—an ambitious goal for anyone, but an especially challenging one for a boy without superpowers. That’s right: in a world where 80% of the population has some sort of special gift, Izuku was unlucky enough to be born completely normal. But that won’t stop him from enrolling in one of the most prestigious hero academies in the world to learn what it truly means to be a hero.",2016-04-03,8.626,5070,"This show has touched my heart unlike any other show. I highly reccomend it. It delivers on all fronts, action, humor, amd heart."
Toilet-Bound Hanako-kun,"To be united with her crush, a hopeless romantic summons the ghost in the girls' bathroom at her school. But she's shocked when the ghost is a boy!",2020-01-10,8.6,747,No reviews
Desafío Champions Sendokai,,2013-04-09,8.6,229,No reviews
Cosmos: A Personal Voyage,"Carl Sagan covers a wide range of scientific subjects, including the origin of life and a perspective of our place in the universe.",1980-09-28,8.6,397,No reviews
The Pitt,The staff of Pittsburgh's Trauma Medical Center work around the clock to save lives in an overcrowded and underfunded emergency department.,2025-01-09,8.624,226,"In a television landscape where medical dramas have been less about medicine and more about steamy romance, The Pitt delivers the uncut reality of emergency medicine through a sharp lens polished with a vivid sense of humanity not seen since ER.

Noah Wyle draws on his many years of experience pla"
Bluey,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.",2018-10-01,8.6,636,No reviews
Ranma ½,"Ranma Saotome, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns into a girl and a cute, well-built redhead at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Akane Tendo, a girl who hates boys.",1989-04-15,8.6,1463,No reviews
I Am Not an Animal,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists.",2004-05-10,8.6,785,No reviews
Haikyu!!,"Inspired by a small-statured pro volleyball player, Shouyou Hinata creates a volleyball team in his last year of middle school. Unfortunately the team is matched up against the ""King of the Court"" Tobio Kageyama's team in their first tournament and inevitably lose. After the crushing defeat, Hinata vows to surpass Kageyama. After entering high school, Hinata joins the volleyball team only to find that Tobio has also joined.",2014-04-06,8.6,1427,No reviews
Solo Leveling,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Sung Jinwoo. After being brutally slaughtered by monsters in a high-ranking dungeon, Jinwoo came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them.",2024-01-07,8.6,1351,No reviews
Run BTS!,"Run BTS! is a variety web series starring BTS, broadcasting intermittent for free viewing on Weverse and YouTube, was formerly offered weekly for free viewing on V LIVE.",2015-08-01,8.6,370,No reviews
No One Will Miss Us,"It's the '90s, and five losers run an illegal business at their high school. They sell homework and assignments to their classmates. The advantage is that no one ever suspects the nerds. Their business brings them money and popularity. But hormones and an unexpected death threaten to ruin everything. If the business collapses, their futures and their friendships are at risk.",2024-08-09,8.6,264,No reviews
Merlí,"He’s surly, unorthodox, unapologetically blunt, and he’s about to change your life. Meet the new philosophy teacher, Merlí, who will help his students view the world in a whole new light, both in and out of the classroom.",2015-09-14,8.6,1134,No reviews
Planet Earth II,David Attenborough presents a documentary series exploring how animals meet the challenges of surviving in the most iconic habitats on earth.,2016-11-06,8.6,846,No reviews
Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",2012-06-15,8.6,3236,No reviews
Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016-07-15,8.596,18693,"At first I was skeptical about it because of kids, but it came out very interesting, well shot TV show. Acting is also done very well."
The Spectacular Spider-Man,"Having spent the summer engaging common criminals with his new-found powers, not so typical 16-year-old Peter Parker must conceal his secret identity and battle super-villains in the real world as he enters his junior year of high school.",2008-03-08,8.596,855,No reviews
The Wire,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",2002-06-02,8.6,2438,"Without doubt, this is the finest, most complete TV drama ever! I know other people will say I am not even close, but for me it really is, and that includes watching Breaking Bad and The Sopranos!

Years ago I watched ""The Corner"", which was like a prequel to The Wire, and it not only saddened me "
Goblin,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",2016-12-02,8.595,2966,This TV Series is also marketed as Guardian: The Lonely and Great God.  The Goblin is an immortal being who can only die by the hands of his wife.  After 900 years He is bored with his life and searching for his bride so he can end it.  His life takes a great turn when he eventually finds his bride 
Cardcaptor Sakura,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998-04-07,8.6,764,No reviews
The Originals,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",2013-10-03,8.593,3462,No reviews
"Love, Victor","Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation. When it all seems too much, he reaches out to Simon to help him navigate the ups and downs of high school.",2020-06-17,8.591,1607,"This is better than the movie Love, Simon but not by much. It could take the place of any generically wholesome and wholesomely generic teenage TV series, except the gimmick of this show is that the lead character is gay. From a cultural / sociopolitical perspective, there's value in having such a m"
Zoids: Chaotic Century,"Van discovers an Organoid in an abandoned laboratory while running from two strangers piloting Zoids. Also in the laboratory, in an animated suspension tube is a strange girl. He breaks the tube open and takes her and the Organoid with him. The girl, who says her name is Fiona, wants to find something called ""Zoid Eve"", and so Van, the Organoid Zeke, and Fiona begin their adventure.",1999-09-04,8.6,351,No reviews
Lovely Runner,"Right after Ryu Sun-jae, a top star, ends his life, Im Sol, his top fan, somehow ends up at a time when they were in high school and tries to protect him. A fantasy romance unfolds where people who missed each other in time finally meet.",2024-04-08,8.59,210,"1. * Everyone has its own opinion, 
2. the story of keep changing life or future is just too much. Its sucks and getting on ones nerve . the story is not becoming complete even it is fiction. Its so different from other Korean drama. There is no wholeness that even you dont like the story you just "
House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",2004-11-16,8.6,7071,"I liked this show because House's character, but I was oblivious to most of their medical conversations.
An advice: Don't watch it unless you understand a lot of medical terminology."
Scissor Seven,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",2018-04-25,8.6,732,No reviews
Planet Earth,"David Attenborough celebrates the amazing variety of the natural world in this epic documentary series, filmed over four years across 64 different countries.",2006-03-05,8.6,1156,No reviews
Heartstopper,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,2022-04-22,8.6,1594,"When i saw the people on social media talking about Heartstopper the first though that came to my mind was ooh another gay teen show *rolling eyes*, but i could never have imagined the story that i was going to find. Since the beginning of the show the chemistry between Nick and Charlie was amazing,"
Banana Fish,A teenaged gang leader in New York City faces his abuser and rival gangs alongside a photojournalist from Japan as they investigate a deadly new drug.,2018-07-06,8.6,891,No reviews
The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",2005-03-24,8.583,4677,Such an incredible show. Probably my favorite show of all time. The characters and office environment is easy to relate to. The Dwight and Jim rivalry is fantastic.
InuYasha,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000-10-16,8.6,2033,No reviews
Big Time Rush,"Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",2009-11-28,8.6,1661,No reviews
JUJUTSU KAISEN,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",2020-10-03,8.575,3941,No reviews
Villainous,"Follow the misadventures of the Black Hat Org. with evil handyman Black Hat and his less evil aides Dr. Flugslys, Demencia, 5.0.5, Cam Bot, and Penumbra.",2017-05-15,8.6,302,No reviews
Over the Garden Wall,"Two brothers, Wirt and Greg, find themselves lost in the Unknown; a strange forest adrift in time. With the help of a wise old Woodsman and a foul-tempered bluebird named Beatrice, Wirt and Greg must travel across this strange land, in hope of finding their way home. Join them as they encounter surprises and obstacles on their journey through the wood.",2014-11-03,8.573,1585,No reviews
Band of Brothers,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",2001-09-09,8.6,3861,"One of the best TV-shows of all time.
This war series is one of the most realistic,  accurate, detailed and comprehensive I've ever encountered.
The show is overwhelming, intriguing and some episodes can squeeze a couple of tears from you.
One of the few series that stuck in your head even a week"
Your Lie in April,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",2014-10-10,8.6,1066,"Strangely motivational, extremwly sad and a happy ending. This has to be one of the best anime. The music is spot on. Animation is marvelous. It hits you at right places. You will cry. Damn how much you will cry. No matter what you do it's too intoxicating and ending is really how it should be. A st"
KONOSUBA - God's blessing on this wonderful world!,"After a traffic accident, Kazuma Sato’s  disappointingly brief life was supposed to be over, but he wakes up to  see a beautiful girl before him. She claims to be a goddess, Aqua, and  asks if he would like to go to another world and bring only one thing  with him. Kazuma decides to bring the goddess herself, and they are  transported to a fantasy world filled with adventure, ruled by a demon  king. Now Kazuma only wants to live in peace, but Aqua wants to solve  many of this world’s problems, and the demon king will only turn a blind  eye for so long…",2016-01-14,8.6,1362,"Relaxing, positive, likeable characters, doesn't shine in any category but can be funny from time to time and some dialogues are a bit alternative (more direct?) if compared to other animes. In my opinion it's a bit a ""slice of life"" anime with a fantasy/adventure background, as the main focus seeme"
I'm in the Band,"Tripp Campbell is the new lead guitarist for Iron Weasel, a band that once ruled the world of 80s pop metal. Can he push the washed-up rockers out of his parents' guest room and back in the limelight?",2009-11-27,8.6,266,No reviews
Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995-10-04,8.6,1899,No reviews
Blue Planet II,There is nowhere more powerful and unforgiving yet more beautiful and compelling than the ocean. Join us and explore the greatest yet least known parts of our planet.,2017-10-29,8.6,299,No reviews
Boris,"Boris is an Italian television series created by Luca Manzi and Carlo Mazzotta, initially produced from 2007 to 2010, with a revival season premiered in 2022.

The show brings to the stage the behind the scenes of a television set where a troupe is shooting Gli occhi del cuore 2 (The eyes of the heart 2), a satirical portrait of the many fictions airing on the Italian TV networks.",2007-04-16,8.563,223,No reviews
Amphibia,"The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will become a hero and discover the first true friendship of her life.",2019-06-17,8.6,309,No reviews
Digimon Tamers,"A group of 12-year-old fans of the Digimon card game meet their own Digimon friends and start to duel ""bio-emerging"" Digimon who cross the barrier between the information network and their world.",2001-04-01,8.6,355,No reviews
X-Men '97,"The X-Men, a band of mutants who use their uncanny gifts to protect a world that hates and fears them, are challenged like never before, forced to face a dangerous and unexpected new future.",2024-03-20,8.6,567,"The nostalgia factor in this animated series is truly remarkable. The creators did an exceptional job of capturing the essence of the original 90s characters. However, there is one notable drawback in the form of voice casting. Some voices, like those of characters Rogue and Wolverine, are difficult"
Mr. Queen,"A modern chef suddenly becomes trapped inside the body of a queen from the Joseon era, which causes chaos for everyone involved.",2020-12-12,8.6,449,"While the series set out to explore the comedic possibilities of a modern soul trapped in a historical queen's body, the formula turned out to be very limited to spin it for a very long 20 episodes. I enjoyed its earlier episodes but it kept repeating the exact same gags with every single episode. H"
JoJo's Bizarre Adventure,"Follow the intergenerational feud between the Joestar Family and various forces of evil, the most prominent of which is Dio Brando and his followers.",2012-10-06,8.556,1489,No reviews
given,"Ritsuka’s lost his spark for music—until he hears Mafuyu sing. One voice pulls him back in, and suddenly, everything starts to change between them.",2019-07-12,8.6,768,this is a very good anime show
Scavengers Reign,When a deep space freighter is damaged by a solar flare its surviving crew are stranded on a beautiful and unforgiving planet. They begin to learn the true nature of this planet as they try to survive long enough to escape or be rescued.,2023-10-19,8.6,312,No reviews
Kaguya-sama: Love Is War,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.",2019-01-12,8.6,773,No reviews
Mushoku Tensei: Jobless Reincarnation,"A 34-year-old hikikomori is kicked out of his home by his family after the death of his parents. After his eviction, he saves a group of teenagers from being killed by a speeding truck, but loses his life in the process. When he comes to, he realizes he has been reborn as Rudeus Greyrat, in a world of swords and sorcery.",2021-01-11,8.6,1338,No reviews
Batman: The Animated Series,"Vowing to avenge the murder of his parents, Bruce Wayne devotes his life to wiping out crime in Gotham City as the masked vigilante ""Batman"".",1992-09-05,8.6,1704,"Honestly, I don't think you are going to find a bad review here. This is what happens when cartoons hit their apex.

It is stylistic and well animated, visually a pleasure to watch. It gives off a film noir Bogart feel without actually pinning down what era it takes place in... which sets the mood"
Dexter: Resurrection,"Dexter Morgan awakens from a coma to find Harrison gone without a trace. Realizing the weight of what he put his son through, Dexter sets out for New York City, determined to find him and make things right. But closure won't come easy. When Miami Metro's Angel Batista arrives with questions, Dexter realizes his past is catching up to him fast. As father and son navigate their own darkness in the city that never sleeps, they soon find themselves deeper than they ever imagined - and that the only way out is together.",2025-07-13,8.6,246,"""Dexter Resurrection"" is yet another attempt to reanimate the corpse, of a once great series, with predictable consequences. 

Firstly, this series doesn't even appear to be about Dexter. From the get go its focus is his wholly unlikable son, who has taken a job as a bell hop in New York. An emplo"
Rascal Does Not Dream of Bunny Girl Senpai,"Puberty Syndrome—a rumored, mysterious syndrome that only affects those in their puberty. For example, a bunny girl suddenly appeared in front of Sakuta Azusagawa. The bunny girl's real identity is Mai Sakurajima, a teenage celebrity who is currently an inactive high school senior. For some reason, her charming figure does not reflect in the eyes of others. In the course of revealing the mystery behind this phenomenon, Sakuta begins to explore his feelings towards Mai. Set in a city where the skies and seas shine, Sakuta unfolds the meaning behind his bizarre encounters on women with the said syndrome.",2018-10-04,8.5,1259,No reviews
Shadow Hunter,"A documentary series about the paranormal, hosted by Darryll Walsh, a ghost hunter, best-selling author and doctor of parapsychology.",2005-12-08,8.5,922,No reviews
31 Minutos,"Chilean television show which takes the form of a mock news broadcast, and is fronted by puppets who present various items.",2003-03-15,8.5,359,No reviews
Dr. STONE,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",2019-07-05,8.547,1557,No reviews
