title,overview,release_date,rating,vote_count,review
The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",2003-12-17,8.489,25436,"And so all good things come to an end. For three years in a row, Peter Jackson has banished our winter blues with the individual instalments of his Tolkien trilogy, effectively shifting the focus of our cinematic excitement from the summer months to the end of the year. But now that his epic has bee"
Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,8.487,29062,"***The cream of the crop of quirky crime thrillers***

RELEASED IN 1994 and written & directed by Quentin Tarantino, ""Pulp Fiction"" is a drama/thriller/black comedy about two hit men in Los Angeles (John Travolta and Samuel L. Jackson), their mob boss & his wife (Ving Rhames and Uma Thurman) and a"
Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,8.479,11973,"I would never take it away from anyone, but I was underwhelmed.

_Final rating:★★ - Definitely not for me, but I sort of get the appeal._"
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,8.466,28615,Best movie ever.
"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-22,8.465,9159,"I'm looking for the owner of that horse. He's tall, blonde, he smokes a cigar, and he's a pig!

It's debatable of course, since there are legions of fans of the first two films in Sergio Leone's Dollars Trology, but with each film there not only came a longer running time, but also a rise in quali"
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,8.46,37817,"Well, one off from two of this year's most expected movies alongside 'The Battle of Five Armies'. Like all the Chris Nolan fans, I was equally excited to see the movie on the opening day opening show. But I slightly disappointed that it was not a digital 3D film. I agree, this science-fiction was mo"
GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990-09-12,8.455,13617,"In a world that's powered by violence, on the streets where the violent have power, a new generation carries on an old tradition.

Martin Scorsese’s Goodfellas is without question one of the finest gangster movies ever made, a benchmark even. It’s that rare occasion for a genre film of this type w"
Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,8.454,3976,Fantastic movie with a great touch of reality.
Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,8.4,6050,"The terrible story of two orphaned Japanese kids during the ending of WWII.

Incredibly well told and totally moving, without using clichés. A must seen in the anime arena."
Life Is Beautiful,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,8.44,13532,"The first half of the screenplay is better than the second and in particular the weak ending which is very commercial Oscar material. However, there is Benigni, who is an old school visual comedian, and some of his antics are a delight. The period setting details are also well done."
Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,8.438,30730,"Pretty awesome movie.  It shows what one crazy person can convince other crazy people to do.  Everyone needs something to believe in.  I recommend Jesus Christ, but they want Tyler Durden."
Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,8.434,4603,Nice comedy-drama about the youth at the small town of an Italian kid.
Harakiri,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1962-09-15,8.4,1113,"This is an amazing Japanese classic written and filmed without flaw. The action unfolds in story-telling within story-telling. This is a film about truth. Whose truth? That is the unfoldment. In a perverted way, this amazing piece of work has become predictive of Western corporate banking. Perhaps y"
City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",2002-08-30,8.431,7788,"It’s a great film and well worthy of its the respect it has. It’s gruelling too, the 18 rating is due to the thread running through the film of continuous and ruthless violence of gangs trying to control their drug area. The is the story told through the eyes of ‘Rocket’ who avoids getting in to the"
Impossible Things,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",2021-06-17,8.4,410,No reviews
The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,8.425,26360,"Brooking no argument, history should quickly regard Peter Jackson’s The Fellowship Of The Ring as the first instalment of the best fantasy epic in motion picture history. This statement is worthy of investigation for several reasons.

Fellowship is indeed merely an opening salvo, and even after th"
A Dog's Will,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000-09-15,8.4,1181,"This film is deeply steeped in Brazilian culture, which may make it inaccessible to some. It's based on a play by Ariano Suassuna, who made his life's mission to preserve Brazilian culture. If you're put off by the surrealistic religion scenes, keep in mind that this spiritualism was still firmly an"
Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,8.422,10498,"Required viewing.

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._"
One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975-11-19,8.413,10940,"**Subject to the silliest of internet theories**

There are a lot of movie theories but the silliest of all is this nonsense that is all over the internet claiming that _the Chief killed the unresponsive McMurphy because he thought McMurphy was ignoring him._ 

These idiots claim the Chief did n"
The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,8.409,22895,"Peter Jackson has always maintained that The Two Towers is ""the second act"" of his epic undertaking, and perhaps the true greatness of the middle chapter will only be clear when viewed in context. As a stand-alone film, however, The Two Towers is not quite as good as Fellowship. (Nor, indeed, does i"
Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,8.408,2431,No reviews
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-05-23,8.406,5720,"Stereotypical Sergio Leone film with endless waitings and sight crossings.

One of the performances that made Robert de Niro de actor he is and an interesting way of telling a story and the evolution of America during the years of the alcohol prohibition."
Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2013-10-02,8.399,798,"This movie is a mixture of many social topics that concern us, being organized coherently into a deeply touching narrative. It reveals many imperfections of the world we lived in, but the main theme is still about hope and love. While the plot is relatively simple, the acting feels truly impressive "
Howl's Moving Castle,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,8.4,10507,Really good movie staging in a fictional center European country. The drawings are great and the story is as delicate as any other from Miyazaki.
Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,8.396,16425,"First of all, I love the animation style in this film. The animation in this film is styled to look like an actual comic book. I think this approach for this kind of film was an excellent choice because we’ve all seen the usual kind of animation but nothing like this. To tie in with the animation I "
The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,8.395,17667,"**Overrated **

An enjoyable film - just not as engaging as parts IV and VI. The argument that Jedi was ruined by little furry creatures is laughable as this instalment features a _little green muppet_. I was expecting Kermit and Miss Piggy to show up.

Once we get the impressive Hoth battle ove"
A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2016-09-17,8.4,4211,"**A second chance to fix the past mistake.**

This is the next best anime in the recent time after 'Your Name'. Not that you know this director very well, not at the international level. But with a film like this, she's going to be. This is another teen romance. Well, romance is not exactly a word"
Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2020-10-19,8.4,319,No reviews
The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,8.381,9670,No reviews
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,8.377,22079,"He's experienced about as much pain and suffering as anyone I've encountered, give or take, and he still has Hell to look forward to. 
 
""Warning: Spoilers""
 
Seven is directed by David Fincher and written by Andrew Kevin Walker. It stars Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Kevin Spacey "
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,8.377,22078,"He's experienced about as much pain and suffering as anyone I've encountered, give or take, and he still has Hell to look forward to. 
 
""Warning: Spoilers""
 
Seven is directed by David Fincher and written by Andrew Kevin Walker. It stars Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Kevin Spacey "
Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,8.37,1066,No reviews
Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2020-07-31,8.37,1531,No reviews
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,8.37,37929,"When I first saw the trailer for this film, I knew that this would attract a lot of attention. Of course having Leonardo in the lead role helped a lot. 


From the trailer, I already know some things. Dreams. All about dreams. But what about dreams? Who are the other people? At first, I didn't re"
Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2023-10-19,8.4,474,"""Sergio"" (Eugenio Derbez) is a new teacher at a primary school in a run-down Mexican town where his unorthodox teaching methods cause a bit of consternation for the head teacher ""Chucho"" (Daniel Haddad). There's a curriculum that they are supposed to follow and this school is the very worst in the l"
Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954-08-01,8.348,6824,"L.B. Jeffries (Jimmy Stewart), an adventurous photographer, is temporarily immobilized by a serious leg injury.  Bored, and living in a time where TV and internet were not available as distractions, he watches the courtyard out his real window and speculates about the lives of the neighbors that he "
The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991-02-14,8.347,17089,"Unlike a lot of viewers, I first saw _The Silence of the Lambs_ at five years old. So, for me, _The Silence of the Lambs_ is a childhood favorite. Some would say I had an unusual childhood, in this age where some people actually **avoid** R-rated movies like the plague. The fact that I saw _Somethin"
High and Low,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",1963-03-01,8.3,1020,"I didn't take to this initially. The scenario reminded me a little of an episode of ""Columbo"" - a rather sterile, studio-set environment that came across as quite limiting. Once it gets going, though, it's one of the best crime thrillers I've seen in ages. It all centres around the kidnapping of a s"
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,8.3,7872,"Life as a teenager is never easy and when you are gifted with the superhuman abilities of a spider and lead a double life as a student and crime fighter; life gets even harder.

Miles Morales (Shameik Moore) is finding it even harder to hide his secret from his family who has grown concerned that "
KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025-06-20,8.339,1352,"I enjoyed this movie, but boy do I have issues with the storytelling and the glamorizing of K-pop idols' lives.

SPOILERS AHEAD:

1. Rumi was born part-demon, right? Her mother was a demon hunter and her father was a demon, which implies that not all demons are evil, right? Yes? No? We are never"
American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-07-01,8.335,12024,"Despite having a somewhat weak cast, this is an incredibly poignant drama of one man's struggle to live a new life. Probably too violent and close-to-home for some."
The Quintessential Quintuplets Movie,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2022-05-20,8.3,417,"The Go-Touban series has always focused more on the sisters and their relationships with each other than it ever does with the actual romance plots. Each of the girls has gotten sufficient development over the series (although some are better developed than others), and that's still the movie's main"
Dou kyu sei – Classmates,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2016-02-20,8.3,412,No reviews
Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,8.327,8516,Probably the best movie from Miyazaki. A mixture of old Japanese traditions with the story about the conflict between the industrial human being and the preservation of the Nature.
The Legend of Hei,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2019-08-27,8.3,407,No reviews
Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,8.322,20848,"**Entertaining**

A man goes back in time to save his mother - or something like that anyway - I was too entertained to fully grasp what was going on.  Seriously, this film moves so fast that you will find yourself having to try your hardest to keep up with it.

Great movie. Great soundtrack. Gr"
"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2020-12-25,8.3,532,No reviews
A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",1991-07-27,8.318,352,No reviews
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,8.3,5337,"There are times in our lives when nearly all of us exceed the limits of our capabilities (and often quite unexpectedly at that). But that can be a tremendous blessing, especially when we’re confronted by circumstances where such aptitudes are called for. So it is for Roz (Lupita Nyong’o), a robot wh"
Perfect Blue,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",1998-02-28,8.3,2907,"Just seen this on All Hallows' Eve. It's a bit old, but gold! I definitely have to rewatch this, because you just got to pay attention to 'know' what is happening and follow the story. I think you'd better understand/follow the story and that it will make more sense when you watch it a second time."
Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",1952-10-09,8.304,1232,"Takashi Shimura is ""Watanabe"", an elderly civil service lifer who is told that he has terminal stomach cancer. After years of a disciplined, rather pedestrian existence he now feels a need to emancipate himself and start to live a little. The story is told through two threads: one looks at the end o"
Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,8.301,11896,"Carpe Diem & The Punk Rock Movie.

Dead Poets Society is directed by Peter Weir (Picnic At Hanging Rock/Gallipoli) and stars Robin Williams, Robert Sean Leonard, Ethan Hawke, Kurtwood Smith, Gale Hansen & Norman Lloyd. The script is written by Tom Schulman, based on his life at Montgomery Bell Aca"
Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,8.301,15443,"HOW TO MAKE A FEMALE ASSASSIN. TRAUMA, TRAINING THEN GET HER EXTRA ANGRY.  NATILIE PORTMANS FIRST ASSASSIN ROLE AND HOPEFULLY NOT HER LAST.  WE NEED A PART 2 TO THIS MOVIE."
Violet Evergarden: The Movie,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2020-09-18,8.3,460,"This is like a Charles Dickens tale, told in awesome animation!"
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,8.3,2739,"A classic for the must to be seen list.

Gloria Swanson is magnificent."
The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940-10-15,8.3,3517,"In September 1939, six days after Britain declared war on Nazi Germany, Charlie Chaplin began filming his next feature. Drawing on the public perception of the similarities between himself and Adolf Hitler - not just his toothbrush moustache but also their upbringings - Chaplin sought to directly pa"
Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2025-02-27,8.29,741,No reviews
Dedicated to my ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2019-11-01,8.3,512,No reviews
We All Loved Each Other So Much,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",1974-12-21,8.287,619,No reviews
Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",1936-02-05,8.282,3880,Really good movie from visionary and fun Charlie Chaplin in which industry literally swallows the human being.
Once Upon a Time in the West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",1968-12-21,8.3,4614,All what you can expect from a western.
Given,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",2020-08-22,8.3,407,No reviews
Hotarubi no Mori e,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2011-09-17,8.279,1163,No reviews
Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2023-09-24,8.3,400,No reviews
The Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2011-11-02,8.272,17833,Funny and moving for a difficult topic to talk about. François Cluzet and Omar Sy perform amazingly well although the rest of the cast is also very good.
Neon Genesis Evangelion: The End of Evangelion,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",1997-07-19,8.272,1723,No reviews
